system:index,institution_type,name,no2,.geo
00000000000000000283_0,Power Plant,Jeffrey,2.2958402698311765E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.39122457677712,40.96766853227078]}"
00000000000000000284_0,Power Plant,Johnson 1,1.99922824935688E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.82528594778182,40.71614025271731]}"
00000000000000000285_0,Power Plant,Johnson 2,2.018558145282717E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.76240387789346,40.65325818282894]}"
00000000000000000286_0,Power Plant,Chappell,1.9341598318085106E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-102.46633288309322,41.09343267204751]}"
00000000000000000287_0,Power Plant,Crete,2.7377406498659205E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.93271073291696,40.65325818282894]}"
00000000000000000288_0,Power Plant,Curtis,2.062768776490258E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.51698871655385,40.65325818282894]}"
00000000000000000289_0,Power Plant,David City,3.286630948935314E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.12135694258207,41.28207888171261]}"
0000000000000000028a_0,Power Plant,Deshler,2.8875088493497964E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.75017764146573,40.15020162372201]}"
0000000000000000028b_0,Power Plant,Emerson,3.451356249371376E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.74406452325186,42.288191999926475]}"
0000000000000000028c_0,Power Plant,Falls City,2.5482910083817448E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.61218726526127,40.02443748394528]}"
0000000000000000028d_0,Power Plant,Franklin (NE),2.1500448671341336E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.9449369693447,40.087319553833645]}"
0000000000000000028e_0,Power Plant,Lon Wright,3.754678569027541E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.4925362436984,41.40784302148934]}"
0000000000000000028f_0,Power Plant,C W Burdick,3.086318345605057E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.31611627046102,40.90478646238241]}"
00000000000000000290_0,Power Plant,Don Henry,2.8814091839488053E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.44188041023776,40.590376112940575]}"
00000000000000000291_0,Power Plant,North Denver,3.280858867345607E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.3789983403494,40.590376112940575]}"
00000000000000000292_0,Power Plant,Laurel,3.493935020159509E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.12135694258207,42.41395613970321]}"
00000000000000000293_0,Power Plant,J Street,3.156403255838693E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.6811824533635,40.77902232260568]}"
00000000000000000294_0,Power Plant,Lyons,2.8789463445876464E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.4925362436984,41.91089958059627]}"
00000000000000000295_0,Power Plant,Nebraska City # 1,3.177602540690827E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.86371554481474,40.65325818282894]}"
00000000000000000296_0,Power Plant,Syracuse # 2,2.4111385113774177E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.17812589425657,40.65325818282894]}"
00000000000000000297_0,Power Plant,Columbus,3.717744888569784E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.31000315224716,41.47072509137771]}"
00000000000000000298_0,Power Plant,Hallam,3.200041724212846E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,40.527494043052215]}"
00000000000000000299_0,Power Plant,Hebron,2.890735573472189E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.56153143180063,40.21308369361038]}"
0000000000000000029a_0,Power Plant,Kearney,2.5262996011525853E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.07070110912143,40.71614025271731]}"
